course_code,course_name,course_description
ECON217,Macroeconomics of Income Distribution,"This course will introduce methods of measuring income distribution and income inequality, examine macroeconomic models with implications on income distribution and re-distribution, and analyze government policies in relation to income distribution. Global studies (including the case of Singapore) on income inequality, intergenerational mobility, and related issues on disparity will be reviewed, and discussed. Topics may include some or all of the following: measurement of income inequality, problems of rising inequality in advanced and emerging economies, growth and inequality, human capital and inequality, intergenerational mobility and inequality, trade liberalization and inequality, redistribution policies, etc."
ECON219,Organisational Economics,"This course applies rigorous economics analysis to important features of major organizations in society, especially modern firms. The material is organized into the following modules:
  Why do you set up a firm? -- Entrepreneurs and boundaries of the firm;
  How to attract and motivate the right people to work for the firm? -- Incentives and employment in organizations;
  How to get things done in firms? -- Decision-making and implementation in organizations;
  Is the firm fulfilling its purpose? -- Evaluating the performance of organizations."
ECON220,Economic Growth,"The income per capita in the United States and Western Europe is around fifty times greater than in much of sub-Saharan Africa. This prompts the question: Why are some countries rich and others poor? From around 1870 until the Second World War, Japan s income per capita remained around 25 percent of U.S. income per capita. After the substantial reforms put in place at the end of the war, Japanese relative income rose sharply so that today Japanese standard of living is roughly two-thirds that of the U.S. level. The rapid catch-up was also achieved in the post-war period by several other Asian economies including Singapore. What is it that makes it possible for countries to produce growth miracles? For much of world history, people lived at subsistence levels well described by Thomas Malthus. Around the nineteenth century, however, there was an escape from Malthusian stagnation beginning in Europe. What is the engine of economic growth? Gasoline contributes to air pollution as it powers our cars. The release of carbon dioxide as oil and gasoline are burned contributes to global warming. What is the relationship between economic growth and environmental quality? These are the questions that we will pursue in this course."
ECON221,Financial Econometrics,"Financial econometrics is a new discipline with new methods. This subject presents an econometric treatment of topics in finance. The finance topics will include portfolio theory, capital asset pricing models, arbitrage pricing theory, efficient markets hypothesis, covered interest parity, term structure of interest rates, and option pricing models. The econometrics topics will include unit roots, cointegration, ARCH modelling, factor analysis, structural change, and continuous-time models. On completing the course the students will understand the central technical issues in the statistical analysis of financial data. Pre-requisite: Applied Econometrics"
ECON222,"Economics of Privatisation, Regulation and Competition Policy","Since the 1980s, many countries have turned to the private sector to provide services formerly offered by the state.  With freer markets, an adjacent development has been the introduction of elaborate systems of regulation as well as the enactment of competition law regimes.  This course provides an overview of the economic theory relevant to privatization, regulation and competition policy.  The first half of the course will examine the following issues: the rationale for privatization and regulation; strategies for privatization and options for public regulation; evaluation of effects of privatization and regulation; creation of competition and policies toward anti-competitive behavior.  Particular attention will be paid to the electric power, telecommunications and transport sectors.  Relevant cases from different countries will be used to highlight issues and provide a more complete understanding of the options and problems involved.  The second half of the course aims at giving students an introduction to the basic issues of competition policy: market power and market definition, cartels and tacit collusion, mergers and vertical restraints, and predatory practices."
ECON225,Health Systems and Policy,"This course will examine the diversity of healthcare systems around the world in terms of governance, provision, financing and ownership. Singapore s healthcare system and its evolution will be examined in depth to highlight the health promotion and healthcare philosophies and strategies. This course will also cover the trends in the causes of morbidity and how the demographic transition is likely to affect their relative importance and overall healthcare costs, particularly in a rapidly ageing society such as Singapore s. With respect to the issue of healthcare costs, matters of quality and efficiency of healthcare service delivery will be discussed."
ECON226,Urban Economics and Policy,"This course is designed as an introductory course of urban economics. It covers fundamental principles developed in economics to understand the functioning/workings of an urban economy and the various aspects of urban life. Firstly, the course begins with the definition of a city, and why cities form by introducing the economics of agglomeration, and how cities interact to form the urban system of the entire economy. These factors affect all urban phenomena. Secondly, the course analyzes the internal spatial structure of a city by developing a theory of commuting, housing demand and housing production. It then analyzes transportation and land/housing issues in more detail. On transportation, we focus on the economics of traffic congestions, the rationale for congestion pricing (ERP), and the so-called fundamental law of highway congestion. The discussion on land and housing, will address various housing phenomena such as tenure choice and location. The courses will discuss the optimality of local public good provision, and connect local public finance and housing markets with land taxation. Finally, the course addresses the economics of urban planning to comprehend various urban forms that are found in different cities in the world. It will highlight key aspects of Singapore s urban policies, such as the ERP and the Land Acquisition Act 1973. The topics for group projects cover many other urban policies in Singapore and its comparison with other countries, including but not limited to Singapore s master plans."
ECON228,Economic Analysis of Multinational Firms,"In recent years, the global economy has witnessed a sharp increase in multinational activity. This course explores this recent development from both theoretical and empirical perspectives, to provide insight into how economists analyze the causes and consequences of this rise in multinational activity. The first half of the course will take a careful look at the economic theories proposed to understand why some firms choose to go multinational, while also studying the empirical evidence that economists have brought to bear to test these theories. The second half of the class will focus on the potential effects of multinational activity in both source and host countries."
ECON229,The Economics of Asymmetric Information,"To explore how asymmetric information plays a crucial role in different areas of economic life, to understand its effect on different markets and contractual relationships, and to investigate solutions to the problems of moral hazard and adverse selection.  Tools used include basic game theory and calculus.  A high degree of student involvement is a major objective, so student presentations of assigned readings and detailed peer discussions will feature prominently."
ECON230,Urban Economics and Real Estate,"This course is intended for students who wish to gain better understanding of the economics of urban growth and real estate markets; infrastructure and real estate financing; public controls and policies.  It considers the interactions between private action and public policy and regulation--including land use policy, taxation, and housing policies. Finally, the links between local housing and related markets--such as urban transportation and public finance--will be explored."
ECON231,Economic Aspects of Maritime Law,"The carriage of goods by sea was one of the very earliest forms of commercial activity, as is shown by ancient examples of Greek and Roman art. ""Carriage"" remains to this day one of the most challenging and lucrative areas of legal practice: the sums of money in dispute are frequently such that parties and their legal advisers are happy to extend fundamental principles of commercial law to their limit - and beyond. English law enjoys considerable pre-eminence in the law of Carriage and ship owners, charterers and traders round the world frequently conclude contracts of carriage on the basis of English law with disputes resolved through London arbitration and litigation.

A practical approach to study carriage contracts is adopted through the eyes of the Maritime Economist and the Shipping Professional, starting from buying or building a ship, financing it, the fixing or booking of the contract, the provision of the vessel, the shipping of the goods, the issue of bills of lading or other shipping documents, the voyage, discharge of the goods and remedies. Shipping Professionals such as Maritime lawyers, P&I Claims Handlers and Ship Operators are brought in class to share their views and experiences and prepare the students for the real world challenges ahead in the Shipping Industry."
ECON233,Economic Forecasting,"Forecasting is a fundamental activity of all participants in a modern economy. Policy makers and businesses rely on macroeconomic forecasts when making decisions. Firms rely on forecasts of economic conditions, sales, input prices, etc., to guide production decisions. Participants in financial markets (investors, speculators, risk managers) all act on forecasts of asset returns and volatility.

This course covers the elements of economic forecasting. We cover both methods for generating economic forecasts, as well as for evaluating forecasts. The methods discussed are primarily ARMA and regression-based models, although some nonlinear techniques are also discussed. We will also discuss practical issues such as producing and evaluating multi-step ahead forecasts, dealing with misspecification, and using mixed frequency data.

The course is application-oriented. Participants in this course will work with actual data in realistic forecasting scenarios. We will use econometric software in applications, but no programming skill is required."
ECON234,International Trade,"This course examines the economic determinants of cross-country trade patterns and welfare properties of trade policies. We first introduce economic models that focus on cross-country differences (in technology, in factor endowment), imperfect competition, or increasing returns to scale as the rationale for trade and the consequences of opening to trade on national welfare and on income distribution within and across countries. We then examine the economic causes and effects of increasing trade in intermediate goods or services through international outsourcing and foreign direct investment. In the third component of the course, we examine efficiency properties of frequently used trade measures, the political economy of trade protection, and welfare effects of preferential trade liberalizations such as free trade agreements against the backdrop of multilateral trade liberalizations sponsored by the WTO.

Economics first major students who do this course must do International Macroeconomics as well to replace International Economics."
ECON235,International Macroeconomics,"This course will cover basic concepts, tools and facts needed to understand the functioning of the global economy and international financial markets. We develop a theoretical framework for the analysis of the determinants of current account deficits, international capital movements, real and nominal exchange rates. We also examine the relationship between interest rates and exchange rates, and discuss various measures of global capital market integration. This framework is then used to discuss relevant policy issues such as the emergence of the US as a foreign debtor, the developing country external debt crises and balance-of-payment crises.

Economics first major students who do this course must do International Trade as well to replace International Economics."
ECON238,Political Economy of Globalization,"This course develops analytical skills indispensable for understanding the political economy of globalization and assessing business and political risks arising from global macroeconomic changes.  Participants will gain a political and economic perspective of global economic imbalances, open economy trilemma, economic integration, common currencies, reserve currencies, financial centers, and the new protectionism.  They will study the global shifts of economic and political power evident in the rapid emergence of China and India. The course will enhance their understanding of the complexity of the international political and economic environment and its impact on regional and global business.  It will improve their ability to apply macroeconomic tools in diverse economic circumstances."
ECON239,Human Capital and Economics of Education,"Human capital refers to the attributes gained by a worker through education and experience. Given the many years we devote to education, this course begins by asking  Why do individuals take up education? ,  Is education productive or does it only act as a signal of ability? . The general preoccupation of the course will be with the use of qualitative and quantitative method to answer issues in the field of Economics of Education.

Topics covered would range from school quality, class size, racial and gender achievement gap to early childhood education, peer effects, cash incentives, social value of education and education policies. Students will learn the basic theory underlying these topics and various empirical approaches to hypothesis testing. The course should be suitable for third and fourth year students interested in both applied microeconomics and public policy analysis. Students should finish the course with a strong grasp of the major debates in the economics of education."
ECON240,Family and the Society: Economic Theories and Practices,"Students will learn about the economic approach of analyzing issues related to the family and the society: the marriage market, fertility choice, decision makings of families in terms of human capital accumulation, and intergenerational mobility. Students will work on projects to examine parental choice of primary school, interaction of youths across socioeconomic groups, work-family balance, coping strategies of the sandwiched generation, impact on and responses by families and the government to an aging population, and impact of changing social attitudes on families. Specific topics will be incorporated or will even replace some of the above given the experiential nature of the course; in fact, the topics to be investigated as group projects will be jointly formulated by the students, the faculty, and the partners based on issues and problems they are facing currently."
ECON241,Strategic Thinking,"This course provides rigorous analyses on (1) how intelligent agents, when participating in interactive activities, make choices anticipating the behavior of other intelligent agents, and (2) how a social planner can design rules and institutions to achieve desirable social outcomes, taking into account sophisticated reactions of intelligent agents. Tools in both cooperative and non-cooperative game theories are introduced. More focus is given to applications in political, legal, and economic issues, e.g., choices of voting rules, marriage market, kidney exchange, accident law, and etc."
ECON242,Political Economy Analysis of Institutions,"This course aims to provide a broad analytical framework for understanding the evolution of major public institutions in modern society. Frontier research findings will be introduced covering topics such as the evolution process of political regime from monarchy to democracy, how democratization interacts with development, how the legal protection of property rights is affected by political power and economic structure, why contract enforcement in some countries rely more on relations while in others on the legal system, why the education system is more centralized in some countries than others, and how they may affect innovation, corporate governance, and middle income trap. Issues related to war, colonization, and global order may also be discussed depending on interests. The course will enable students to discern how the underlying deep forces shape history through the dynamic transformation of public institutions."
ECON243,Demographic and Family Economics,"This course aims at applying economics to demographic, family, and policy issues:
  Household formation
  Child related policies
  Ageing considerations

The course will balance theory, applications, and project work. From time to time, reference will be made to the US, Singapore, and wider experience to provide the practical motivation underlying a number of the ideas covered.

At the end of the course students should be able to
  See economic behaviour in their personal life cycle
  Analyse activities that may not be perceived as economics at first glance
  Discuss critically and present coherent arguments on key societal issues"
ECON245,Applied Healthcare Analytics,This module is designed to equip students with quantitative skills needed for health care research. Students will be inculcated with the knowledge and nurtured in thinking that yields the ability to undertake robust scientific enquiry using health data. A feature of this course is the weekly workshops that give students hands-on experience in solving a wide variety of problems using health data of various kinds. Workshop examples will be demonstrated using the statistical package R (freely available on https://cran.r-project.org/). A background in R is welcomed but not a necessary prerequisite.
ECON248,Overseas Project Experience (Macroeconomics in Asia),"Financial Markets play an important part in assuring the efficiency of the economy, creating economic growth and development for many countries. However, we are also experiencing more and more economic turbulence erupts from the activities of financial markets which raising questions regarding the essential roles of the Central Bank especially in conducting Monetary Policy as well as managing the banking system and financial markets.

There are two main parts to this course. The first part explains the functions and structure of Financial Markets, helping students to understand the meaning and behavior of interest rates. That serves as the background for the second part, in which money and monetary policy theory and strategies will be introduced. Both parts will highlight the management roles of the Central Bank.

This is an SMU-XO course hence students will have a chance to work on real-world projects faced by the Central Bank of Vietnam, related to the conduct of monetary policy and/or the management of financial markets in Vietnam. That allows students to further apply classroom knowledge and theory into practical problems for real organizations."
ECON249,Empirical Economics,"This course is designed to equip students with practical knowledge for analysing micro data. We will cover essential concepts for causal inference and widely-used econometric tools such as linear regression, matching, instrumental variable regression, difference-in-difference, regression discontinuity design. Students will also learn to use Stata software for data management and analysis."
ECON251,Microeconomics 2,"This course provides students with a foundational study of the concepts and theories underlying economic interactions in markets and public organisations. The approach combines economic intuition with a rigorous treatment of the concepts taught. Students will learn about public goods, externalities, monopoly and monopsony, and oligopoly. In addition, students will learn the tools to deal with decisions under risk and how asymmetries of information affect economic institutions. Finally, students are introduced the basic concept from Game Theory, which provides a rigorous treatment of strategic decision making. During the course, the applicability of these concepts to practical situations and their linkages to various economic electives will be discussed."
ECON252,Macroeconomics 2,"This course is the second part of a two-course Macroeconomics sequence. The aim of the sequence is twofold. First, it is to introduce students to modern macroeconomic theory, in particular formal macroeconomic models built on microfoundations. Second, it is to develop a deep understanding of macroeconomic phenomena such as business cycles, long-term economic growth, and the process of economic development, as well as macroeconomic policy issues, such as the impact of fiscal and monetary policy on the economy and the design of a social security system or an unemployment insurance scheme.
This second part of the sequence first reviews the topics of consumption and savings, investment, and the labor market covered in ECON 112 (Macroeconomics 1) and enriches the analysis by considering the impact on consumption and investment decisions of (a) imperfections of the financial sector, for instance leading to the existence of credit constraints, (b) uncertainty, and (c) adjustment costs, as well as by introducing the flow approach to the labor market and using the search and matching framework to understand labor market data and policies. The course then introduces the notion of money and considers the role of financial intermediaries, which are then used to study the long-term impact of monetary policy as well as the role of banking supervision and macro-prudential regulation. The course finally studies business cycles and covers the measurement of cycles, reviews the main existing theories and their policy prescriptions, with a particular emphasis being put on severe recessions or depressions."
ECON253,Infrastructure Economics and Policy,"This course is designed to provide students with an understanding of the theory and practice of the economics of infrastructure provision, regulation, and policy. The first section of the course will deal with reform and governance in the infrastructure sectors and the rationale for privatization and public-private partnerships (PPPs). The theoretical component will cover the rationale for economic regulation, the choice of regulatory instruments, pricing and subsidies, design of markets, regulatory institutions and PPPs. The analysis of these issues will be applied to several infrastructure sectors including water, telecommunications and the internet, transportation, and electricity. The infrastructure sector is increasingly prominent on the sustainability agenda with the adoption of net-zero emissions targets by over 100 countries and large corporations. The course will also discuss policy options and challenges for the transition to net-zero emissions. Relevant case studies will also be used to illustrate the application of economic principles to policy in specific sectors and contexts."
ECON301,Advanced Microeconomics,"This course is a continuation of Intermediate Microeconomics. The objective of this course is to provide students with a systematic foundation of microeconomics in the hope that they are well equipped to take upper-level economics courses. The course is designed to deal with the topics that were not fully addressed in the Intermediate level. The topics include general equilibrium, uncertainty, asymmetric information, mechanism design, and market failure. Various applications will be selected to understand how theoretical frameworks are used to analyze real-world problems and provide policy implications."
ECON302,Advanced Macroeconomics,"The aim of this course is to twofold. First, it is to expose students to a more in depth analysis of topics they would already have touched on in Intermediate Macroeconomics. Moreover, students will get to learn new techniques and concepts that will enable them to learn about recent advances in research in Economics. The set of topics to be covered in the course is not completely fixed and may therefore vary from year to year."
ECON305,Advanced Mathematical Methods,"This course covers mathematical concepts and techniques that are useful for more advanced work in Economics and Econometrics/Statistics. The course covers elementary linear algebra, basic topology (introduction to metric spaces and the topology of Euclidean spaces), differentiation of vector functions, nonlinear programming and dynamic optimisation, and an introduction to complex analysis. Pre-requisite: Intermediate Mathematics for Economics"
ECON307,The Economics of Politics,"This course is an introduction to Political Economics. Its main focus is the process of policy making, both at the political and economical levels. During the term we will look at how governments decide policy via majority voting, how representative legislatures work, how individuals vote in general elections and referenda. These topics are covered at a theoretical level by introducing and solving game theoretic models of politics.  Moreover, applications to government spending, and redistributive policies are provided. Economic performance of constitutions will also be analyzed. Prior knowledge of game theory is not assumed."
ECON308,Empirical Industrial Economics,"Industrial Economics/ Industrial Organization studies the behavior of firms and the operation of markets. Typical questions of Industrial Organizations are: What are the reasons for different market structures, such as the number of the market participants, or the offered product variety? Further, what determines firms  profitability or productivity? Many of the questions evaluate the effects of public policy on competition and consumer welfare.

In empirical Industrial Organization, such questions are addressed by focusing on one industry and usage of appropriate data as well as econometric tools. This course introduces the main models and tools. Empirical methods include reduced form methods with a focus on establishing causal effects, as well as empirical designs that build on theoretical assumption. We work hands-on by estimating demand functions and modeling competition. Further, we evaluate counterfactuals."
ECON315,Economic Dynamics,"This course covers mathematical concepts and techniques that are useful for more advanced treatment of economic analysis. We pay special attention to concepts and machineries that allow us to describe the economic system of dynamics and analyze inter-temporal optimization of an economic agent. The topics which will be covered are: (1) Topology in the Euclidean Space; (2) Linear Algebra; (3) Multivariate Calculus (Differentiation and Integration); (4) Static Optimization; (5) Differential Equations; (6) Difference Equations; and (7) Dynamic Optimization. In addition, we offer a lot of economic examples which utilize the techniques this course covers. A good comprehension of the material covered in the course enables you to (1) understand the appropriate mathematical tools together with applications in economics; and (2) stand out among your peers."
ECON325,Asian Monetary Policy,"This course introduces students to outstanding policy debates in the monetary economics of Asia. Course approach is threefold. The course anchors sovereign and regional policy debates within the context of the latest theoretical advances in the open economy macroeconomics literature. Current topics include exchange rate flexibility, interest rate rules, discretionary targeting regimes, regional integration, monetary coordination, multi-country linkages, and prospective monetary union. Students are expected to follow debates as discussed in professional journals and by regional central banks. The course also encourages students to explore the political economy that underlies the creation and implementation of monetary policy in Asia. Students are expected to analyse and debate the applicability of policy options within the context of current political economy. Finally, the course enables students to contribute to the existing literature by requiring a rigorous paper that addresses an outstanding monetary policy issue in Asia. The aim of the paper is to prepare students for staff positions at central banks, multilateral development institutions, think tanks, investment banks or for places in top-tier graduate schools."
ECON400,Senior Thesis,"The Senior Thesis is a two-semester module and students registered for this module are required to write a scholarly report of not more than 40-typed pages (including bibliography and appendices) on current economic issues, or on theory or methodology in economics based on their research."
ECON490,Health Economics and Management Work-Study Elective,"This course is a collaboration between SingHealth and SMU that helps train young professionals looking to enter the healthcare sector in Singapore. It will provide students with an invaluable opportunity to undergo a 6-month internship programme at SingHealth through which students can acquire first-hand experience and knowledge of the healthcare sector. It is open to all SMU students, but preference is given to students who have already declared Health Economics and Management as their second major."
ECON601,Microeconomics,"This course covers the main building blocks of modern economic analysis. It covers topics such as consumer behavior and the theory of demand; production, cost, and supply functions; choices under uncertainty; competitive equilibrium; monopoly, price discrimination, monopolistic competition, oligopoly, duopoly models; game theory; factor demands; general equilibrium theory and welfare economics; information theory; externalities and public goods."
ECON602,Macroeconomics,"This course is an introduction to the study of the economy as a whole at an advanced level. It presents the major theories concerning some of the most important questions in economics. Why do some countries grow while others do not? What cause recessions and booms? How does government policy affect GDP, unemployment, inflation and growth? Topics covered include: consumption, investment, inter-temporal choice, and the rate of interest; issues in monetary and fiscal policy; models of economic growth; business cycles, unemployment and search."
ECON603,Macroeconomics and Global Financial Markets,"This course provides students with a foundational study of macro-economic concepts and theories necessary to understand and analyze the state and outlook of the global economy and their impact on financial markets. The role of monetary policy and exchange rate policy in managing interest rates, inflation and trade competitiveness will be discussed and the linkages to strategies for investment management will be highlighted. The global economy and its financial markets are keenly interconnected:  Expectations of growth and policy changes impact financial markets to the same extent that fluctuations in market prices influence growth and policies."
ECON610,Contemporary Issues in Asian Business,"The module consists of several topics on different aspects of China to be taught by different Professors. The topics include:

1. Chinese Economy: Past, Present & Future by Prof Hongbin Cai
2. Chinese Government, Business Environment and Economic Development by Prof. Li-An Zhou
3. Negotiation and Conflict Resolution in China by Prof Li Ma
4. Financial Market and Investor Protection in China by Prof Guohua Jiang
5. Innovation in China by Prof Cai Jian"
ECON611,Econometrics,"This course covers the basics of regression methods applied to the analysis of economic data. It focuses on the fundamental assumptions in the setup of an econometric model, the estimation techniques (ordinary least squares and generalized least squares) and their properties under correct and incorrect assumptions (serial correlation, heteroscedasticity, omitted variable, multicollinearity and measurement errors), and the model diagnostics and selection methods. Both time series and cross section data are discussed. Basic knowledge in statistics, calculus and linear algebra is assumed."
ECON612,Understanding the Global Economy and Financial Markets,"This course equips participants with the ability to understand major economic indicators and decipher their implications for business decisions. Participants will be able to determine what factors and indicators affect and move financial markets and why, how to make informed corporate decisions in conjunction with market movements, and how to infer emerging trends from such information."
ECON621,Microeconomics II,"The course is the second part of a graduate level introduction to microeconomics.  The objective is to provide students with a thorough grounding in the analytical methods of microeconomics theory.  The course will focus on (a) General Equilibrium Theory, (b) Game Theory, and (c) Welfare Economics/Incentives."
ECON622,Macroeconomics II,"This course overviews empirical aspects of the modern macroeconomics.  Empirical methods for research and policy analysis are introduced for various models including real business cycles, permanent income hypothesis, asset pricing, indivisible labour, sticky prices, and idiosyncratic shocks.  It covers both calibration and estimation methods mainly but not restricted to linear solutions, and further extends to Bayesian analysis of dynamic stochastic general equilibrium models."
ECON623,Econometrics II,"This is an overview of time series econometrics, designed to introduce students to a range of material in stationary and nonstationary time series, including unit root and cointegration theory, state-space models, non-linear time series analysis, continuous time models, and Bayesian time series methods."
ECON633,Principles in International Trade,"This course aims to equip business students with the economic tools to analyze contemporary economic issues arising from the participation of countries in the international trading system. Some of the questions we will be asking are: why do countries trade? Why do some countries export cars, and other countries export hospital services? How has the role played by Singapore and East Asia in the global economy changed in the last few decades? Why do countries protect their economies from foreign competition? Should countries sign trade agreements with other countries, and if so, should they be multilateral or bilateral?"
ECON634,International Finance,"This course aims to provide students with an understanding of how the global monetary and financial system works. It provides a framework for analyzing issues that arise from the participation of countries in such a global system.  Specifically, it addresses issues such as how exchange rates are determined, the linkages between domestic monetary policy and exchange rate policy, the problem of global imbalance, issues related to currency and financial crises; the evolution of global monetary system and the desirability of a common currency etc."
ECON636,"Money, Banking and Capital Flows","The 2008-2009 Global Financial Crisis has transformed the nature of central banking, monetary policy, global banking and international capital flows profoundly. It has also led to intense debates about the appropriate roles for various institutions in maintaining a stable global financial environment. This course aims to provide an understanding of how the monetary and financial system works. It explains how policies from central banks and regulatory authorities as well as practices of commercial banks affect not only global capital flows but also the stability of the financial system and the performance of the economy. It covers issues such as the conduct of monetary policy, the operations of the commercial banks, what drives international capital flows, how banking and financial crises occur, reforms for the financial system and the role of reserve currency etc."
ECON637,Public Finance,"This course introduces the public sector of a nation s economy. Topics include the
rationales for public sector activity, fiscal accounts and analysis, fiscal (public debt)
sustainability, tax policy, and basic issues in government expenditure. A final session
will cover fiscal decentralization and fiscal rules."
ECON639,"Institutions, Industrial Organization, and Game Theory","Just as game theory has made important contributions to economics, so too economists have made important contributions to game theory. One area that is particularly suited to game analysis is how to design institutions that are organically efficient, or how to regulate markets, in order to prevent market dominance by monopolist players."
ECON640,Managing Economic Growth,"Economic growth has emerged as top strategic policy goal for most countries in recent years. This module will introduce the contemporary growth theory, in order to examine how countries can grow faster and for longer."
ECON644,"Environmental Economics, Business and Policy","This course aims to help students understand the issues on environmental policies and business, and equip them with rigorous economics methods to analyze both domestic and international environmental issues. This course emphasizes the importance of market-based approach to environmental regulations. Topics covered include welfare economic foundations, environmental policy instruments, environmental valuation, environmental accounting and business."
ECON647,Time Series Analysis and Forecasting,"We cover selected topics in applied econometrics, specifically instrumental variable estimation and simultaneous equation models, vector autoregression models, error-correction models, panel data, and forecasting.  The emphasis is on application of these models rather than theoretical results, with hands-on work computer work with econometric software packages (Eviews)."
ECON655,Managerial Economics,"This course covers the basic Microeconomic principles that are at the heart of managerial decision-making. These principles are taught inductively starting from simple examples and practical problems.

Microeconomics is about allocating scarce resources among alternative uses. Microeconomics is also a theory of incentives, intended as the set of rules within which people behave. Policy making (what managers might be in charge of, and surely subjected to) is intended as actions changing the incentives.

In this course attention will be paid on how individuals make decisions (first aspect of Microeconomics) and how incentives are effective in obtaining the desired outcomes (second aspect of Microeconomics). These two aspects combined together provide ample learning scope for managerial decision making.

As stated, learning is via examples and problem solving. Applications concern, mostly, pricing strategies under different settings, cost optimization, negotiations and competitive bidding, governance and agency problems, corporate and social responsibility."
ECON657,Political Economy: Global & Regional,"This course aims to provide leaders with conceptual tools and frameworks that allow systematic thinking of environment factors that allow systematic thinking of environmental factors that restructure companies, industries, competitive balance and countries. Explore current and historical events that shaped the political and business leaders of this region and discover tools used for analyzing countries, systems, trends, stakeholders, scenario developments, regional competitive impact, investment risk and potential return assessment. The objective is to assess potential shifts in stakeholder power within an industry or country, and suggest purposeful management response to these mitigating circumstances."
ECON658,Statistical Inference,"Statistics  abounds  in  our  everyday  lives,  from  economics  to  physics,  accountancy  to  medicine,  business  to  technology,  geography  to  law,  social  science  to  politics,  a  veritable  all-embracing  giant.  No discipline does well that  disavows  it  or belittles it.  Though  many  occupations  may  not  require  specialized  statistics  degrees,  they  demand  at  least  a working application of statistics, and able competency with data crunching, statistical software and results management.

LEARNING OBJECTIVES
This  course  focuses  heavily  on  running  statistical  analyses  and  applications  through  Microsoft Excel, with interpretation of results for sound decision making in practical cases, covering the basics to higher-level statistics.

By the end of this course, students will:

(i) know the principles and elements of basic statistics;
(ii) understand the need for data collection and summarize data sets into meaningful information;
(iii) match and execute correct statistical procedures to different data types and write sound interpretations for use in practical decision-making."
ECON659,Social Choice and Mechanism Design,"The course will study the foundations of collective decision making from the standpoint of a policy maker. The first part of the course will introduce the concepts of social preferences and aggregation and analyse their role in collective decision making. The second part of the course will address a fundamental feature of economic systems, namely that agents have private information which must be elicited from them by the planner via appropriate incentive schemes. This part of the course provides a brief overview of the fields of implementation and mechanism design. Applications to situations of voting, public goods provision and auctions will be considered here. The emphasis of the course will be on concepts and applications rather than on rigourous proofs."
ECON660,Maritime Economics,"Maritime Transport is one of the most Globalised Industries in the world. It is also the major facilitator of World Trade. Approximately 90% of goods traded worldwide per annum in terms of volume and 85% in terms of value are carried onboard ships.

This course aims to provide students with a thorough understanding of major economic principles and concepts through real life applications/examples and analysis of the bulk shipping markets."
ECON668,Numerical Methods for Economics and Finance,"Computational methods comprise a collection of techniques that are practically useful in solving computational mathematics and statistics problems raised in the economics and finance field. This course would cover theories and algorithms in classic numerical mathematics, which include solving linear and nonlinear system, polynomial interpolation and numerical integration. It would also cover other numerical methods that are particularly useful in financial economics, such as random variate generation, lattice tree model and Monte Carlo simulation. The techniques discussed will be applied, using Matlab or other computational software/language, to solve computational problems in Economics and Finance (e.g., portfolio optimization, risk measurement, yield curve building, option pricing)."
ECON670,Financial Econometrics I,"The application of econometric methods to the characterisation of financial data, and to the estimation and testing of selected models of modern finance theory. Areas to be covered include: the statistical modelling and forecasting of financial time series, with application to share prices, exchange rates and interest rates; the specification, estimation and testing of asset pricing models including the capital asset pricing model and extensions; the modelling of volatility; practical application of volatility forecasting."
ECON671,Financial Econometrics II,"The application of econometric methods to the characterisation of financial data, and to the estimation and testing of selected models of modern finance theory. Areas to be covered include: the statistical modelling and forecasting of financial time series, with application to share prices, exchange rates and interest rates; the specification, estimation and testing of asset pricing models including the capital asset pricing model and extensions; the modelling of volatility; practical application of volatility forecasting."
