School,Major,Course_Code,Course_Name,Course_Description,Prereq
NUS,Quantitative Finance,MA2116,Probability,"This course gives an elementary introduction to probability theory for students with knowledge of elementary calculus. It will cover not only the mathematics of probability theory but will work through diverse examples to illustrate the wide scope of applicability of probability, such as in engineering and computing, social and management sciences. Topics covered are: counting methods, sample space and events, axioms of probability, conditional probability, independence, random variables, discrete and continuous distributions, joint and marginal distributions, conditional distribution, independence of random variables, expectation, conditional expectation, moment generating function, central limit theorem, and weak law of large numbers.","{'or': ['MA1102R:D', 'MA1312:D', 'MA1507:D', 'MA1505:D', 'MA1505C:D', 'MA1511:D', 'MA1521:D', 'MA2002:D']}"
NUS,Quantitative Finance,QF2103,Computing for Quantitative Finance,"This course introduces computer programming (e.g. Python) techniques and packages customized for quantitative finance. Students will learn how to apply the computer programming for performing interactive financial data analytics, deploying automated algorithmic trading strategies, and calibrating parameters used for financial derivatives pricing and risk management. Empirical research and code implementations will be demonstrated.","{'and': ['QF2104:D', {'or': ['CS1010%:D', 'CS1101%:D']}]}"
NUS,Quantitative Finance,QF2104,Fundamentals of Quantitative Finance,"This module introduces the students to the basics of financial mathematics and targets all students who have an interest in building a foundation in financial mathematics. Topics include basic mathematical theory of interest, term structure of interest rates, fixed income securities, risk aversion, basic utility theory, single-period portfolio optimization, basic option theory. Mathematical rigor will be emphasized.","{'and': [{'or': ['CS1010:D', 'CS1010%:D', 'IT1006:D', 'CS1101:D', 'CS1101%:D', 'IT1002:D']}, {'or': ['ST2131:D', 'ST2334:D', 'MA2216:D', 'MA2116:D', 'EC2303:D', 'MA2301:D']}, 'QF1100:D']}"
NUS,Quantitative Finance,QF3101,Investment Instruments and Risk Management,"The course aims to present the student with the basic paradigms of modern financial investment theory, to provide a foundation for analysing risks in financial markets and to study the pricing of financial securities. Topics will include the pricing of forward and futures contracts, swaps, interest rate and currency derivatives, hedging of risk exposures using these instruments, option trading strategies and value-at-risk computation for core financial instruments. A programming project will provide students with hands-on experience with real market instruments and data. This course targets all students who have an interest in quantitative finance.","{'and': [{'or': ['MA2104:D', 'MA1505:D', 'MA1507:D', 'MA1511:D', 'MA1521:D', 'MA2311:D', 'MA2301:D']}, {'or': ['MA3269:D', 'QF2104:D']}]}"
NUS,Quantitative Finance,QF3103,Advanced Mathematics in Quantitative Finance,"This course introduces advanced mathematical knowledge used in quantitative finance, including differential equations, numerical partial differential equations, optimization and dynamic programming, advanced probability, and neural network. Motivating examples in finance will be given as well.",QF2104:D
NUS,Quantitative Finance,ST3131,Regression Analysis,"This course focuses on data analysis using multiple regression models. Topics include simple linear regression, multiple regression, model building and regression diagnostics. One and two factor analysis of variance, analysis of covariance, linear model as special case of generalized linear model. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}"
NUS,Quantitative Finance,QF4102,Financial Modelling and Computation,"This module aims to present students with the knowledge of modelling financial process for the purpose of pricing financial derivatives, hedging derivatives, and managing financial risks. The emphasis of this module will be on numerical methods and implementation of models. The course will have two basic elements. First, course work with topics includes: implied trinomial trees, finite difference lattices, Monte Carlo methods, model risk, discrete implementations of short rate models, credit risk and value-at-risk. The second element of the course will be a group project to develop a financial modelling tool. Project topics will be extensions of models contained in the course work. Projects will involve financial modelling as well as writing and presenting a project report. This module targets students in the Quantitative Finance programme.",QF3101:D
NUS,Quantitative Finance,QF4103,Mathematical Models of Financial Derivatives,"This course imparts to students in-depth knowledge of pricing and hedging of financial derivatives in equity, currency and fixed income markets. Major topics include fundamental of asset pricing, basic stochastic calculus, Ito’s formula, Black-Scholes models for European, American, path-dependent options such as Barrier, Asian and Lookback options, as well as multi-asset options and American exchange options.","{'and': [{'or': ['MA1104:D', 'MA1505:D', 'MA1506:D', 'MA1507:D', 'MA1521:D', 'MA2104:D', 'MA2311:D']}, {'or': ['MA3269:D', 'QF2104:D']}]}"
NUS,Quantitative Finance,QF4104,Project in Quantitative Finance and FinTech,"This module is to conduct a self-designed project with topics relevant to quantitative finance and fintech. Projects should be related to at least one of the QF modules. It is also encouraged to conduct projects with problems in quantitative finance, fintech and digital finance, preferably, but not necessarily, in the form of internship, applying quantitative finance knowledge to meet needs of industry. This is an independent project and there is no resource for provision of formal supervision of the project by any lecturer. Student is required to submit a proposal for approval by a module coordinator before starting the project.",QF3101:D
NUS,Quantitative Finance,QF5210,Financial Time Series: Theory and Computation,"This course introduces students to financial time series techniques, focusing primarily on Box-Jenkins (ARIMA) method, conditional volatility (ARCH/GARCGH models), stochastic volatility models, regime switching and nonlinear filtering, diverse non-linear state models, co-integration, and their applications on real-life financial problems. We provide both the relevant time series concepts and their financial applications. Potential application of financial time series models include modeling equity returns, volatility estimations, Value at Risk modelling and option valuation. This course targets students in the Master of Science in Quantitative Finance Programme.",
NUS,Quantitative Finance,QF4205,Time Series Analysis for Quantitative Finance,"This course introduces students to financial time series techniques, focusing primarily on Box-Jenkins (ARIMA) method, conditional volatility (ARCH/GARCGH models), stochastic volatility models, regime switching and nonlinear filtering, multiple time series analysis, co-integration, and their applications on real-life financial problems. Both the relevant time series concepts and their financial applications are covered. Potential application of financial time series models include modelling equity returns, volatility estimations, value-at-risk modelling and option valuation. This course targets students in the undergraduate Quantitative Finance programme.","{'and': ['QF3101:D', {'or': ['MA4269:D', 'QF4103:D']}]}"
NUS,Quantitative Finance,QF4211,Digital Currencies,"This course introduces digital currencies, one of the most demanded digital technologies. We present practically relevant methods and technologies from data science, mathematical finance, neuroeconomics and time series and network analysis, and elaborate with examples in cryptocurrencies market analysis, crypto-assets and derivatives, stable coins and blockchain-based solutions for the digital economy (e.g., P2P lending). The use of GitHub and network techniques will be taught. Empirical research and code implementations will be demonstrated. Guest lecturers with rich working and research experience in the area will be invited to share their expertise in the course.","{'or': ['QF2104:D', 'DSA2102:D']}"
NUS,Quantitative Finance,QF4212,Data Science in FinTech,"This course introduces several state-of-the-art data science methods and approaches in statistical modeling, machine learning and deep learning with data-driven applications in finance and FinTech such as derivative pricing, portfolio optimisation, robo-advising and risk management. Real-data analysis and code implementations will be demonstrated. Guest lecturers with rich working and research experience from academia and industry will be invited to share their latest research findings or their experience in and outlooks on data science techniques and implementations in the modern financial industry.","{'or': ['QF2104:D', 'DSA2102:D']}"
NUS,Statistics,ST1131,Introduction to Statistics and Statistical Computing,"This course introduces students to basic concepts and methods of statistics that will enable them to perform appropriate data analyses to uncover meaningful insights. The statistical software R is taught alongside the material to introduce statistical computing. Students will learn to load raw data, make numerical and graphical summaries of data, and conduct various estimation and testing procedures. Topics include programming in R, descriptive statistics, concepts of probability, random variables and probability distributions, sampling distribution, statistical estimation, hypothesis testing, linear regression, and applications to real-world problems.","{'or': ['MA1301:D', 'MA1301FC:D', 'MA1301X:D']}"
NUS,Statistics,ST2131,Probability,"This course gives an elementary introduction to probability theory for students with knowledge of elementary calculus. It will cover not only the mathematics of probability theory but will work through diverse examples to illustrate the wide scope of applicability of probability, such as in engineering and computing, social and management sciences. Topics covered are: counting methods, sample space and events, axioms of probability, conditional probability, independence, random variables, discrete and continuous distributions, joint and marginal distributions, conditional distribution, independence of random variables, expectation, conditional expectation, moment generating function, central limit theorem, and weak law of large numbers.","{'or': ['MA1102R:D', 'MA1312:D', 'MA1507:D', 'MA1505:D', 'MA1505C:D', 'MA1511:D', 'MA1521:D', 'MA2002:D']}"
NUS,Statistics,ST2132,Mathematical Statistics,"This course introduces students to the theoretical underpinnings of statistical methodology and concentrates on inferential procedures within the framework of parametric models. Topic include: random sample and statistics, method of moments, maximum likelihood estimate, Fisher information, sufficiency and completeness, consistency and unbiasedness, sampling distributions, x2-, t- and Fdistributions, confidence intervals, exact and asymptotic pivotal method, concepts of hypothesis testing, likelihood ratio test, Neyman-Pearson lemma. This course is targeted at students who are interested in Statistic and are able to meet the prerequisite.","{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}"
NUS,Statistics,ST2137,Statistical Computing and Programming,"This course introduces students to the statistical computing and programming, with the main focus on R, Python, and SAS. Students will learn basic computing and programming concepts including scripting, variables, expressions, assignments, control structures, and data structures. On the statistical side, they will learn to load raw data, make numerical and graphical summaries of data, and conduct various estimation and testing procedures. Topics include descriptive statistics, statistical estimation, robust estimation, categorical data analysis, testing hypotheses, ANOVA, regression analysis, performing resampling methods and simulations. Some basic knowledge of R is assumed.","{'or': ['ST1131:D', 'ST1131A:D', 'ST1232:D', 'ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}"
NUS,Statistics,MA2001,Linear Algebra I,"This course is a first course in linear algebra. Fundamental concepts of linear algebra will be introduced and investigated in the context of the Euclidean spaces R^n. Proofs of results will be presented in the concrete setting. Students are expected to acquire computational facilities and geometric intuition with regard to vectors and matrices. Some applications will be presented. Major topics: Systems of linear equations, matrices, determinants, Euclidean spaces, linear combinations and linear span, subspaces, linear independence, bases and dimension, rank of a matrix, inner products, eigenvalues and eigenvectors, diagonalization, linear transformations between Euclidean spaces, applications.","{'or': ['MA1301:D', 'MA1301FC:D', 'MA1301X:D']}"
NUS,Statistics,MA2002,Calculus,"This is a course in single-variable calculus. We will introduce precise definitions of limit, continuity, derivative, and the Riemann integral. Students will be exposed to computational techniques and applications of differentiation and integration. This course concludes with an introduction to first order differential equations. Major topics Functions; limit and continuity; derivative; Intermediate Value Theorem; chain rule; implicit differentiation; higher derivatives; Mean Value Theorem; Riemann integral; Fundamental Theorem of Calculus; elementary transcendental functions and their inverses; techniques of integration; computation of area, volume and arc length using definite integrals; first order differential equations.","{'or': ['MA1301:D', 'MA1301FC:D', 'MA1301X:D']}"
NUS,Statistics,MA2311,Techniques in Advanced Calculus,"This module applies advanced calculus to practical mathematical problems, and is for students with advanced calculus background and with interest in the applications of calculus. Major topics Sequences, series, power series. Vector algebra in R2 and R3. Scalar- and vector-valued functions of several variables. Partial derivatives, total differentials. Mean value Theorem. Taylor's formula. Jacobian. Chain rule. Lagrange multiplier. Multiple integrals.","{'or': ['MA1102R:D', 'MA2002:D', 'MA1312:D', 'MA1421:D', 'MA1521:D']}"
NUS,Statistics,MA2104,Multivariable Calculus,"This is a course on the calculus of functions of several real variables, applications of which abound in mathematics, the physical sciences and engineering. The aim is for students to acquire computational skills, ability for 2- and 3-D visualisation and to understand conceptually fundamental results such as Green’s Theorem, Stokes’ Theorem and the Divergence Theorem. Major topics: Euclidean distance and elementary topological concepts in Rn, limit and continuity, implicit functions. Partial differentiation, differentiable functions, differentials, chain rules, directional derivatives, gradients, mean value theorem, Taylor’s formula, extreme value theorem, Lagrange multipliers. Multiple integrals and iterated integrals, change of order of integration, applications, Jacobian matrix, change of variables in multiple integrals. Line integrals and Green’s theorem. Surface integrals, Stokes’ Theorem, Divergence Theorem.","{'or': ['MA1102R:D', 'MA2002:D', 'MA1505:D', 'MA1511:D', 'MA1521:D', 'PC2174A:D']}"
NUS,Statistics,ST3131,Regression Analysis,"This course focuses on data analysis using multiple regression models. Topics include simple linear regression, multiple regression, model building and regression diagnostics. One and two factor analysis of variance, analysis of covariance, linear model as special case of generalized linear model. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}"
NUS,Statistics,ST4288,Honours Project in Statistics,"This course allows students to develop skills for independent research in statistics, probability and related fields, and the application of novel data-driven strategies for solving scientific and business problems. Upon completion of the course, students should be able to demonstrate an appreciation of the current state of knowledge in a particular field of research, master the techniques required for the study of a research question, and communicate research findings clearly and concisely in written and spoken English.","{'and': ['ST1131:D', {'or': ['ST2131:D', 'MA2116:D', 'MA2216:D']}, 'ST2132:D', 'ST2137:D', 'MA2001:D', 'MA2002:D', {'or': ['MA2311:D', 'MA2104:D']}, {'nOf': [4, ['ST3131:D', 'ST32%:D', 'ST42%:D']]}]}"
NUS,Statistics,ST3288,Advanced UROPS in Statistics & Applied Probability I,"ST3288 is part of the Undergraduate Research Opportunities Programme in Science (UROPS); Statistics students may use this course to fulfill their graduation requirement. The aim of the course to provide opportunities for students to apply their learned theoretical knowledge and skills in statistics to scientific and applied research topics. In this course, each student will independently work on a research project under the supervision of a faculty member. If needed, students taking ST3288 can subsequently take ST3289 such that they can work on a two-semester long project under the supervision of the same faculty member.",
NUS,Statistics,ST3289,Advanced UROPS in Statistics & Applied Probability II,"ST3289 is a subsequent course of ST3288; it is part of the Undergraduate Research Opportunities Programme in Science (UROPS). Students taking ST3288 can choose to take this course to extend their project period from one semester to two semesters under the supervision of the same faculty member. The aim of these courses are to provide opportunities for students to apply their learned theoretical knowledge and skills in statistics to scientific and applied research topics. In these courses, each student will independently work on a research project under the supervision of a faculty member.",ST3288:D
NUS,Statistics,ST3248,Statistical Learning I,"Statistical learning is a large collection of computer-based modelling and prediction tools with applications in diverse fields including business, medicine, astrophysics, and public policy. This series of two courses covers many of the popular approaches for a variety of statistical problems. There is heavy emphasis on the implementation of these methods on real-world data sets in the popular statistical software package R. Part I gives a broad overview of the common problems as well as their most popular approaches. Topics include linear regression model and its extensions, classification methods, resampling methods, regularisation and model selection, principal components and clustering methods.","{'or': ['ST2132:D', 'ST2334:D']}"
NUS,Statistics,CS3243,Introduction to Artificial Intelligence,"The course introduces the basic concepts in search and knowledge representation as well as to a number of sub-areas of artificial intelligence. It focuses on covering the essential concepts in AI. The course covers Turing test, blind search, iterative deepening, production systems, heuristic search, A* algorithm, minimax and alpha-beta procedures, predicate and first-order logic, resolution refutation, non-monotonic reasoning, assumption-based truth maintenance systems, inheritance hierarchies, the frame problem, certainly factors, Bayes' rule, frames and semantic nets, planning, learning, natural language, vision, and expert systems and LISP.","{'and': [{'or': ['CS2040:D', 'CS2040C:D', 'CS2040S:D', 'YSC2229:D']}, {'or': ['CS1231S:D', 'CS1231:D', 'MA1100T:D', 'MA1100:D']}]}"
NUS,Statistics,CS3244,Machine Learning,"This course introduces basic concepts and algorithms in machine learning and neural networks. The main reason for studying computational learning is to make better use of powerful computers to learn knowledge (or regularities) from the raw data. The ultimate objective is to build self-learning systems to relieve human from some of already-too-many programming tasks. At the end of the course, students are expected to be familiar with the theories and paradigms of computational learning, and capable of implementing basic learning systems.","{'and': [{'or': ['CS2040:D', 'CS2040C:D', 'CS2040S:D', 'YSC2229:D']}, {'or': ['EE2012A:D', 'EE2012:D', 'YSC2243:D', 'ST2131:D', 'ST2334:D', 'MA2116:D', 'MA2216:D']}, {'or': [{'nOf': [2, ['MA1511:D', 'MA1512:D']]}, {'and': [{'or': ['MA2001:D', 'MA1522:D', 'MA1508E:D', 'MA1311:D', 'MA1513:D', 'MA1101R:D']}, {'or': ['MA2002:D', 'MA1521:D', 'MA1505:D', 'MA1507:D', 'MA1102R:D']}]}]}]}"
NUS,Statistics,ST4248,Statistical Learning II,"Statistical Learning is a large collection of computer-based modelling and prediction tools with applications in diverse fields including business, medicine, astrophysics, and public policy. This series of two modules covers many of the popular approaches for a variety of statistical problems. There is heavy emphasis on the implementation of these methods on real-world data sets in the popular statistical software package R. Part II builds on the knowledge in Part I, introducing more tools as well as generalising and extending some of the tools covered in Part I using entirely different approaches. Topics include non-parametric smoothing methods, tree-based methods, support vector machines, neural networks and ensemble learning.","{'nOf': [2, ['ST3131:D', 'ST3248:D']]}"
NUS,Statistics,ST4250,Multivariate Statistical Analysis,"This course focuses on the classical theory and methods of multivariate statistical analysis. Topics include distribution theory: multivariate normal distribution, Hotelling's T2 and Wishart distributions, inference on the mean and covariance, principal components and canonical correlation, factor analysis, discrimination and classification. This course is targeted at students who are interested in Statistics, are able to meet the pre-requisites and are matriculated in or after 2002.",ST3131:D
NUS,Statistics,ST3247,Simulation,"The advent of fast and inexpensive computational power has facilitated the description of real phenomenon using realistic stochastic models which can be analysed using simulation studies. This course teaches students how to analyse a model by use of a simulation study and the topics include: pseudorandom number generation, generating discrete and continuous random variables, simulating discrete events, statistical analysis of simulated data, variance reduction, Markov Chain Monte Carlo methods. It also covers topics in stochastic optimisation such as simulated annealing. This course is targeted at students who are interested in Statistics and are able to meet the prerequisites.","{'and': [{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}, {'or': ['CS1010:D', 'CS1010E:D', 'CS1010S:D', 'CS1010FC:D', 'IT1006:D']}]}"
NUS,Statistics,CS3210,Parallel Computing,"The aim of this course is to provide an introduction to the field of parallel computing with hands-on parallel programming experience on real parallel machines. The course is divided into four parts: parallel computation models and parallelism, parallel architectures, parallel algorithm design and programming, and new parallel computing models. Topics includes: theory of parallelism and models; shared-memory architectures; distributed-memory architectures; data parallel architectures; interconnection networks, topologies and basic of communication operations; principles of parallel algorithm design; performance and scalability of parallel programs, overview of new parallel computing models such as grid, cloud, GPGPU.","{'or': ['CS2100:D', 'CG2007:D', 'EE2028:D', 'CG2028:D', 'EE2024:D']}"
NUS,Statistics,MA3252,Linear and Network Optimisation,"The objective of this course is to work on optimization problems which can be formulated as linear and network optimization problems. We formulate linear programming (LP) problems and solve them by the simplex method (algorithm). We also look at the geometrical aspect and develop the mathematical theory of the simplex method. We further study problems which may be formulated using graphs and networks. These optimization problems can be solved by using linear or integer programming approaches. However, due to its graphical structure, it is easier to handle these problems by using network algorithmic approaches. Applications of LP and network optimization will be demonstrated. This course should help the student in developing confidence in solving many similar problems in daily life that require much computing. Major topics: Introduction to LP: solving 2-variable LP via graphical methods. Geometry of LP: polyhedron, extreme points, existence of optimal solution at extreme point. Development of simplex method: basic solution, reduced costs and optimality condition, iterative steps in a simplex method, 2-phase method and Big-M method. Duality: dual LP, duality theory, dual simplex method. Sensitivity Analysis. Network optimization problems: minimal spanning tree problems, shortest path problems, maximal flow problems, minimum cost flow problems, salesman problems and postman problems.","{'or': ['MA1101R:D', 'MA1311:D', 'MA2001:D', 'MA1508E:D', 'MA1513:D', 'MA1522:D']}"
NUS,Statistics,ST4234,Bayesian Statistics,"Bayesian principles: Bayes' theorem, estimation, hypothesis testing, prior distributions, likelihood, predictive distributions. Bayesian computation: numerical approximation, posterior simulation and integration, Markov chain simulation, models and applications: hierarchical linear models, generalized linear models, multivariate models, mixture models, models for missing data, case studies. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.",ST2132:D
NUS,Statistics,CS4231,Parallel and Distributed Algorithms,"This course will examine some fundamental issues in parallel programming and distributed computing, and the relationships between the two.  Parallel programming: mutual exclusion, semaphores, consistency, wait-free synchronization.  Distributed computing: time, global state, snapshots, message ordering.  Relationships: consensus, fault-tolerance, transactions, self-stabilization.","{'or': ['CS3210:D', 'CS3230:D']}"
NUS,Statistics,DSA4211,High-Dimensional Statistical Analysis,"Dimensionality is an issue that can arise in many scientific fields such as medicine, genetics, business and finance, among others. The statistical properties of estimation and inference procedures must be carefully established when the number of variables is much larger than the number of observations. This course will discuss several statistical methodologies useful for exploring voluminous data. They include principal component analysis, clustering and classification, tree-structured analysis, neural network, hidden Markov models, sliced inverse regression, multiple testing, sure independent screening (SIS) and penalized estimation for variable selection. Real data will be used for illustration of these methods. Some fundamental theory for high-dimensional learning will be covered.",ST3131:D
NUS,Statistics,DSA4212,Optimisation for Large-Scale Data-Driven Inference,"Computational optimisation is ubiquitous in statistical learning and machine learning. The course covers several current and advanced topics in optimisation, with an emphasis on efficient algorithms for solving large scale data-driven inference problems. Topics include first and second order methods, stochastic gradient type approaches and duality principles. Many relevant examples in statistical learning and machine learning will be covered in detail. The algorithms will be implemented using the Python programming language.","{'and': [{'or': ['MA1101R:D', 'MA2001:D', 'MA1522:D', 'MA1508E:D', 'MA1513:D']}, {'or': ['MA1104:D', 'MA2104:D', 'MA2311:D']}, 'ST2132:D']}"
NUS,Statistics,MA4268,Mathematics for Visual Data Processing,"This multi-disciplinary course focuses on various important mathematical methods addressing problems arising in imaging and vision. Topics covered include: Continuous and discrete Fourier transform, Gabor transform, Wiener filter, variational principle, level set method, applied differential geometry, linear and nonlinear least squares, regularisation methods.","{'or': ['MA2213:D', 'DSA2102:D']}"
NUS,Statistics,DSE4211,Digital Currencies,"This course introduces digital currencies, one of the most demanded digital technologies. We present practically relevant methods and technologies from data science, mathematical finance, neuroeconomics and time series and network analysis, and elaborate with examples in cryptocurrencies market analysis, crypto-assets and derivatives, stable coins and blockchain-based solutions for the digital economy (e.g., P2P lending). The use of GitHub and network techniques will be taught. Empirical research and code implementations will be demonstrated. Guest lecturers with rich working and research experience in the area will be invited to share their expertise in the course.","{'or': ['QF2104:D', 'DSA2102:D']}"
NUS,Statistics,DSE4212,Data Science in FinTech,"This course introduces several state-of-the-art data science methods and approaches in statistical modeling, machine learning and deep learning with data-driven applications in finance and FinTech such as derivative pricing, portfolio optimisation, robo-advising and risk management. Real-data analysis and code implementations will be demonstrated. Guest lecturers with rich working and research experience from academia and industry will be invited to share their latest research findings or their experience in and outlooks on data science techniques and implementations in the modern financial industry.","{'nOf': [11, ['QF2104:D', 'DSA2102:D']]}"
NUS,Statistics,ST3234,Actuarial Statistics,"This course focuses on life contingencies and theory of risk. Topics include survival models and life tables, life annuities, assurances and premiums, reserves, joint life and last survivor statuses, multiple decrement tables, expenses, individual and collective risk theory. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}"
NUS,Statistics,ST3246,Statistical Models for Actuarial Science,"The course aims to introduce students how statistical methods are used to construct actuarial loss models in order to manage the financial risks in this uncertain world. Major topics includes a model-based approach to Actuarial Science, loss distributions, frequency distributions, aggregate loss models, parametric models, effects of policy modifications, statistical inference for loss models, credibility theory.",ST2132:D
NUS,Statistics,ST4245,Statistical Methods for Finance,"The course aims to equip students with a repertoire of statistical analysis and modelling methods that are commonly used in the finance industry. Major topics include statistical properties of returns, regression analysis with applications to single and multi-factor pricing models, multivariate analysis with applications in Markowitz's portfolio management, modelling and estimation of volatilities, calculation of value-at-risk, nonparametric methods with applications to option pricing and interest rate markets. Students are assumed to have had no background in finance or economics and will be acquainted with the foundations of finance such as portfolio optimizing and the Capital Asset Pricing Model. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisite.",ST3131:D
NUS,Statistics,ST4253,Applied Time Series Analysis,"This course introduces the modelling and analysis of time series data. A computer package will be used to analyse real data sets. Topics include stationary time series, ARIMA models, estimation and forecasting with ARIMA models This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2132:D', 'ST2334:D']}"
NUS,Statistics,QF4103,Mathematical Models of Financial Derivatives,"This course imparts to students in-depth knowledge of pricing and hedging of financial derivatives in equity, currency and fixed income markets. Major topics include fundamental of asset pricing, basic stochastic calculus, Ito’s formula, Black-Scholes models for European, American, path-dependent options such as Barrier, Asian and Lookback options, as well as multi-asset options and American exchange options.","{'and': [{'or': ['MA1104:D', 'MA1505:D', 'MA1506:D', 'MA1507:D', 'MA1521:D', 'MA2104:D', 'MA2311:D']}, {'or': ['MA3269:D', 'QF2104:D']}]}"
NUS,Statistics,ST3232,Design & Analysis of Experiments,"This course covers common designs of experiments and their analysis. Topics include basic experimental designs, analysis of one-way and two way layout data, multiple comparisons, factorial designs, 2k-factorial designs, blocking and confounding, fractional factorial design and nested designs. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2132:D', 'ST2334:D']}"
NUS,Statistics,ST3236,Stochastic Processes I,"This course introduces the concept of modelling dependence and focuses on discrete-time Markov chains. Topics include discrete-time Markov chains, examples of discrete-time Markov chains, classification of states, irreducibility, periodicity, first passage times, recurrence and transience, convergence theorems and stationary distributions. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'and': [{'or': ['MA1101R:D', 'MA1508E:D', 'MA2001:D', 'MA1522:D']}, {'or': ['ST2131:D', 'ST2334:D', 'MA2116:D', 'MA2216:D']}]}"
NUS,Statistics,ST3239,Survey Methodology,"This course gives an introduction to the design of sample surveys and estimation procedures, with emphasis on practical applications in survey sampling. Topics include planning of surveys, questionnaire construction, methods of data collection, fieldwork procedures, sources of errors, basic ideas of sampling, simple random sampling, stratified, systematic, replicated, cluster and quota sampling, sample size determination and cost. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}"
NUS,Statistics,ST3244,Demographic Methods,"This course will provide an introduction to the fundamental principles and methods of demography. The role of demographic data in describing the health status of a population, spotting trend and making projection will be highlighted. Topics include sources and interpretation of demographic data, rates, proportions and ratios, standardization, complete and abridged life tables, estimation and projection of fertility, mortality and migration, Interrelations among demographic variables, population dynamics, demographic models. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}"
NUS,Statistics,ST4238,Stochastic Processes II,"This course builds on ST3236 and introduces an array of stochastic models with biomedical and other real world applications. Topics include Poisson process, compound Poisson process, marked Poisson process, point process, epidemic models, continuous time Markov chain, birth and death processes, martingale. This course is targeted at students who are interested in Statistics and are able to meet the pre-requisites.","{'or': ['MA3238:D', 'ST3236:D']}"
NUS,Statistics,ST4252,Applied Survival Analysis,"This course focuses on the analysis of survival data or “failure times”, which measure the length of time until the occurrence of an event, with the objective of modelling the underlying distribution of the failure time variable and to assess the dependence of the failure time variable on the independent variables. Topics include: examples of survival data, concepts and techniques used in the analysis of time to event data, including censoring, hazard rates, estimation of survival curves, parametric and nonparametric models, regression techniques, regression diagnostics. This course is targeted at students who are interested in Statistics and are able to meet the prerequisite.",ST2132:D
NUS,Data Science and Economics,DSE1101,Introductory Data Science for Economics,"The vast amount of data generated by economic activities such as consumption, production and investment increases the demand for data science practitioners with a knowledge of economic analysis. This course introduces foundational data science concepts to prepare students for tackling data analytic challenges in economics and related fields such as finance, public policy and society. Topics include basic concepts in probability and statistics, data manipulation, supervised and unsupervised learning, model validation and big data analysis. Students will learn fundamental R programming skills to implement and apply the data science methods in motivating real-world case studies from economics and related fields.","{'or': ['MA1301:D', 'MA1301FC:D', 'MA1301X:D']}"
NUS,Data Science and Economics,EC1101E,Introduction to Economic Analysis,"This course introduces students to some of the basic concepts, methods, and models in economics to equip the students to think economically. These tools will enable students to understand current economic issues and appreciate economics in their everyday lives.",
NUS,Data Science and Economics,CS2040,Data Structures and Algorithms,"This course introduces students to the design and implementation of fundamental data structures and algorithms. The course covers basic data structures (linked lists, stacks, queues, hash tables, binary heaps, trees, and graphs), searching and sorting algorithms, and basic analysis of algorithms.","{'or': ['CS1010:D', 'CS1010E:D', 'CS1010X:D', 'CS1101S:D', 'CS1010S:D', 'CS1010J:D']}"
NUS,Data Science and Economics,DSA2101,Essential Data Analytics Tools: Data Visualisation,"Data visualisation is an essential tool for data analytics. This course is an introduction to data cleaning, exploration, analysis and visualisation. Students will learn how to take raw data, extract meaningful information, use statistical tools, and make visualisations. Topics include: programming in R, introduction to data storage systems, data manipulation, exploratory data analysis, dimension reduction, statistical graphics for univariate, multivariate (high-dimensional), temporal and spatial data, basic design principles and critical evaluation of visual displays of data.","{'and': [{'or': ['BT1101:D', 'DSA1101:D', 'DSE1101:D', 'GEA1000:D', 'GER1000%:D', 'IE1111R:D', 'ST1131:D']}, {'or': ['MA2401:D', {'and': [{'or': ['MA2001:D', 'MA1101R:D', 'MA1311:D', 'MA1508E:D', 'MA1513:D', 'MA1522:D']}, {'or': ['ST2334:D', 'ST2131:D', 'MA2116:D', 'MA2216:D']}]}]}]}"
